id,name,slug,color,member_ids,owner_id,visibility,created_at,updated_at,raw_json
2,Content Creator,content-creator,bg-blue-200 dark:bg-blue-800,"[""people_3""]",people_2,team,2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""2"",""name"":""Content Creator"",""slug"":""content-creator"",""color"":""bg-blue-200 dark:bg-blue-800"",""memberIds"":[""people_3""],""ownerId"":""people_2"",""visibility"":""team"",""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
1,Digital Marketing,digital-marketing,bg-pink-200,"[""people_0"",""people_3""]",people_0,team,2026-04-07T02:53:21.134Z,2026-04-07T02:53:21.134Z,"{""_id"":""1"",""name"":""Digital Marketing"",""slug"":""digital-marketing"",""color"":""bg-pink-200"",""memberIds"":[""people_0"",""people_3""],""ownerId"":""people_0"",""visibility"":""team"",""createdAt"":""2026-04-07T02:53:21.134Z"",""updatedAt"":""2026-04-07T02:53:21.134Z""}"
69e9a0db38b85db4d9df9ea3,Trainer,,bg-blue-200,"[""people_generated_1775555993012"",""people_generated_1775720464363"",""people_generated_1776914117587""]",people_generated_1775555993012,team,2026-04-23T04:32:27.079Z,2026-04-23T04:32:27.079Z,"{""_id"":""69e9a0db38b85db4d9df9ea3"",""name"":""Trainer"",""color"":""bg-blue-200"",""memberIds"":[""people_generated_1775555993012"",""people_generated_1775720464363"",""people_generated_1776914117587""],""ownerId"":""people_generated_1775555993012"",""visibility"":""team"",""createdAt"":""2026-04-23T04:32:27.079Z"",""updatedAt"":""2026-04-23T04:32:27.079Z""}"
