id,name,owner_id,team_id,created_at,updated_at,raw_json
folder_1776679383195,IT Group,people_generated_1775720464363,dev,2026-04-20T10:03:03.195Z,2026-04-20T10:03:03.195Z,"{""_id"":""folder_1776679383195"",""name"":""IT Group"",""ownerId"":""people_generated_1775720464363"",""teamId"":""dev"",""createdAt"":""2026-04-20T10:03:03.195Z"",""updatedAt"":""2026-04-20T10:03:03.195Z""}"
folder_1777976135967,sơ cấp,people_generated_1777892056001,store,2026-05-05T10:15:35.967Z,2026-05-05T10:15:35.967Z,"{""_id"":""folder_1777976135967"",""name"":""sơ cấp"",""ownerId"":""people_generated_1777892056001"",""teamId"":""store"",""createdAt"":""2026-05-05T10:15:35.967Z"",""updatedAt"":""2026-05-05T10:15:35.967Z""}"
folder_1778144458529,mát xa tay,people_generated_1777892056001,store,2026-05-07T09:00:58.529Z,2026-05-07T09:00:58.529Z,"{""_id"":""folder_1778144458529"",""name"":""mát xa tay"",""ownerId"":""people_generated_1777892056001"",""teamId"":""store"",""createdAt"":""2026-05-07T09:00:58.529Z"",""updatedAt"":""2026-05-07T09:00:58.529Z""}"
folder_1778210542113,BÀI 1 : LIỆU TRÌNH CHĂM SÓC DA CƠ BẢN,people_generated_1778208416895,store,2026-05-08T03:22:22.113Z,2026-05-08T03:22:22.113Z,"{""_id"":""folder_1778210542113"",""name"":""BÀI 1 : LIỆU TRÌNH CHĂM SÓC DA CƠ BẢN"",""ownerId"":""people_generated_1778208416895"",""teamId"":""store"",""createdAt"":""2026-05-08T03:22:22.113Z"",""updatedAt"":""2026-05-08T03:22:22.113Z""}"
